-3.400   0.000   -0.000   11.383   8.971
-3.367   0.041   0.040   11.402   9.022
-3.333   0.040   0.055   11.417   9.175
-3.300   0.034   0.042   11.470   9.362
-3.267   0.032   0.038   11.490   9.388
-3.233   0.031   -0.010   11.603   9.588
-3.200   0.031   -0.055   11.801   9.825
-3.167   0.029   -0.054   11.836   9.785
-3.133   0.014   -0.053   11.869   9.848
-3.100   0.004   -0.050   11.878   9.836
-3.067   -0.005   -0.071   11.944   9.893
-3.033   -0.005   -0.068   12.030   9.847
-3.000   0.007   -0.076   12.147   9.919
-2.967   0.040   -0.091   12.229   9.945
-2.933   0.061   -0.099   12.238   9.959
-2.900   0.097   -0.121   12.290   9.936
-2.867   0.112   -0.128   12.298   9.920
-2.833   0.128   -0.130   12.315   9.911
-2.800   0.133   -0.136   12.322   9.915
-2.767   0.135   -0.142   12.324   9.913
-2.733   0.135   -0.143   12.328   9.914
-2.700   0.136   -0.144   12.324   9.917
-2.667   0.148   -0.133   12.315   9.930
-2.633   0.162   -0.126   12.309   9.941
-2.600   0.168   -0.117   12.307   9.947
-2.567   0.172   -0.113   12.295   9.973
-2.533   0.175   -0.113   12.279   9.979
-2.500   0.182   -0.113   12.264   9.995
-2.467   0.186   -0.113   12.254   10.009
-2.433   0.190   -0.113   12.247   10.018
-2.400   0.188   -0.119   12.246   10.036
-2.367   0.188   -0.119   12.262   10.037
-2.333   0.176   -0.132   12.290   10.039
-2.300   0.166   -0.153   12.345   10.037
-2.267   0.159   -0.167   12.361   10.035
-2.233   0.141   -0.188   12.384   10.034
-2.200   0.122   -0.200   12.452   10.008
-2.167   0.099   -0.211   12.525   9.978
-2.133   0.087   -0.216   12.545   9.965
-2.100   0.068   -0.221   12.573   9.940
-2.067   0.022   -0.246   12.622   9.914
-2.033   -0.025   -0.259   12.674   9.870
-2.000   -0.069   -0.287   12.679   9.857
-1.967   -0.086   -0.304   12.689   9.843
-1.933   -0.105   -0.339   12.706   9.849
-1.900   -0.149   -0.369   12.688   9.854
-1.867   -0.190   -0.395   12.681   9.852
-1.833   -0.226   -0.420   12.623   9.850
-1.800   -0.247   -0.428   12.615   9.847
-1.767   -0.263   -0.448   12.527   9.848
-1.733   -0.302   -0.468   12.434   9.859
-1.700   -0.344   -0.484   12.346   9.886
-1.667   -0.376   -0.497   12.238   9.906
-1.633   -0.393   -0.503   12.224   9.920
-1.600   -0.398   -0.502   12.150   9.909
-1.567   -0.452   -0.513   12.057   9.901
-1.533   -0.492   -0.532   11.950   9.899
-1.500   -0.530   -0.526   11.846   9.848
-1.467   -0.540   -0.524   11.835   9.838
-1.433   -0.564   -0.523   11.724   9.814
-1.400   -0.600   -0.541   11.579   9.773
-1.367   -0.651   -0.534   11.501   9.699
-1.333   -0.670   -0.533   11.369   9.593
-1.300   -0.655   -0.548   11.341   9.625
-1.267   -0.671   -0.566   11.308   9.613
-1.233   -0.700   -0.569   11.241   9.560
-1.200   -0.728   -0.568   11.152   9.439
-1.167   -0.745   -0.560   11.144   9.261
-1.133   -0.743   -0.555   11.134   9.248
-1.100   -0.735   -0.544   11.131   9.155
-1.067   -0.726   -0.540   11.162   9.074
-1.033   -0.725   -0.530   11.145   8.942
-1.000   -0.722   -0.514   11.164   8.797
-0.967   -0.719   -0.508   11.173   8.769
-0.933   -0.718   -0.471   11.184   8.706
