-1.633   0.000   -0.000   10.930   8.389
-1.600   0.006   -0.010   10.900   8.385
-1.567   -0.006   -0.021   10.801   8.379
-1.533   -0.057   -0.022   10.706   8.364
-1.500   -0.109   -0.022   10.647   8.355
-1.467   -0.172   -0.022   10.521   8.355
-1.433   -0.229   -0.024   10.396   8.364
-1.400   -0.263   -0.025   10.325   8.383
-1.367   -0.302   -0.026   10.221   8.441
-1.333   -0.335   -0.026   10.098   8.515
-1.300   -0.353   -0.026   10.047   8.567
-1.267   -0.376   -0.033   9.905   8.612
-1.233   -0.380   -0.038   9.803   8.719
-1.200   -0.382   -0.038   9.720   8.763
-1.167   -0.373   -0.041   9.476   8.780
-1.133   -0.363   -0.040   9.324   8.798
-1.100   -0.357   -0.034   9.229   8.794
-1.067   -0.341   -0.033   9.119   8.786
-1.033   -0.297   -0.032   8.958   8.768
-1.000   -0.258   -0.037   8.913   8.763
-0.967   -0.190   -0.073   8.790   8.667
-0.933   -0.118   -0.094   8.737   8.579
-0.900   -0.077   -0.098   8.709   8.543
-0.867   -0.016   -0.124   8.722   8.488
-0.833   0.034   -0.150   8.754   8.468
-0.800   0.090   -0.186   8.761   8.468
-0.767   0.173   -0.218   8.750   8.450
-0.733   0.304   -0.265   8.750   8.458
-0.700   0.373   -0.302   8.756   8.461
-0.667   0.453   -0.342   8.779   8.463
-0.633   0.587   -0.408   8.795   8.474
-0.600   0.658   -0.430   8.807   8.479
-0.567   0.756   -0.466   8.807   8.480
-0.533   0.863   -0.514   8.805   8.484
-0.500   0.932   -0.548   8.803   8.484
-0.467   1.042   -0.541   8.832   8.486
-0.433   1.156   -0.553   8.905   8.487
-0.400   1.226   -0.547   8.967   8.476
-0.367   1.365   -0.534   9.031   8.425
-0.333   1.499   -0.525   9.089   8.268
-0.300   1.508   -0.511   9.135   8.097
-0.267   1.537   -0.339   9.110   7.830
-0.233   1.727   -0.229   9.104   7.535
-0.200   1.812   -0.054   9.096   7.434
-0.167   1.879   0.591   9.081   7.139
-0.133   1.873   0.844   9.116   6.823
-0.100   1.870   0.990   9.232   6.502
-0.067   1.910   1.189   9.742   5.625
-0.033   1.877   1.230   10.678   4.793
0.000   1.889   1.322   11.328   4.610
0.033   1.946   1.320   12.028   4.870
0.067   2.038   1.318   12.376   5.528
0.100   2.099   1.317   12.334   6.140
0.133   2.174   1.410   12.060   7.489
0.167   2.309   1.296   11.788   8.071
0.200   2.408   1.226   11.710   8.308
0.233   2.612   0.697   11.676   8.692
0.267   2.619   0.479   11.646   8.945
0.300   2.620   0.413   11.672   8.969
0.333   2.630   0.350   11.707   9.016
0.367   2.724   0.313   11.825   8.944
0.400   2.764   0.309   11.873   8.875
0.433   2.771   0.412   11.968   8.778
0.467   2.792   0.557   12.118   8.664
0.500   2.815   0.676   12.158   8.656
0.533   2.864   0.777   12.241   8.679
0.567   2.904   0.826   12.285   8.699
0.600   2.930   0.813   12.327   8.675
0.633   3.002   0.817   12.408   8.620
0.667   3.072   0.856   12.464   8.431
0.700   3.099   0.891   12.490   8.311
0.733   3.152   1.022   12.536   8.207
