-1.567   0.000   -0.000   9.656   11.385
-1.533   -0.166   0.012   9.649   11.418
-1.500   -0.241   0.003   9.636   11.497
-1.467   -0.270   -0.024   9.598   11.547
-1.433   -0.356   -0.056   9.548   11.589
-1.400   -0.443   -0.102   9.494   11.638
-1.367   -0.502   -0.159   9.424   11.686
-1.333   -0.578   -0.211   9.342   11.716
-1.300   -0.648   -0.281   9.279   11.763
-1.267   -0.706   -0.348   9.236   11.854
-1.233   -0.742   -0.359   9.157   11.876
-1.200   -0.768   -0.382   9.054   11.851
-1.167   -0.824   -0.369   8.909   11.793
-1.133   -0.878   -0.386   8.837   11.624
-1.100   -0.864   -0.412   8.725   11.600
-1.067   -0.868   -0.421   8.623   11.544
-1.033   -0.914   -0.442   8.430   11.505
-1.000   -0.888   -0.511   8.271   11.427
-0.967   -0.860   -0.538   8.066   11.366
-0.933   -0.847   -0.522   7.834   11.203
-0.900   -0.841   -0.518   7.649   11.118
-0.867   -0.803   -0.561   7.436   11.018
-0.833   -0.737   -0.565   7.271   10.871
-0.800   -0.668   -0.580   7.117   10.748
-0.767   -0.635   -0.607   6.994   10.666
-0.733   -0.558   -0.633   6.956   10.535
-0.700   -0.471   -0.646   6.939   10.486
-0.667   -0.404   -0.709   6.973   10.459
-0.633   -0.330   -0.767   7.040   10.451
-0.600   -0.266   -0.806   7.091   10.464
-0.567   -0.179   -0.859   7.171   10.486
-0.533   -0.056   -0.899   7.437   10.481
-0.500   0.044   -0.942   7.627   10.517
-0.467   0.117   -0.998   7.748   10.505
-0.433   0.314   -1.028   7.887   10.425
-0.400   0.393   -1.046   8.011   10.453
-0.367   0.505   -1.053   8.062   10.427
-0.333   0.655   -1.037   9.606   7.962
-0.300   0.749   -1.018   8.684   8.464
-0.267   0.893   -0.962   9.994   7.563
-0.233   0.838   -0.928   9.329   9.272
-0.200   0.773   -0.736   9.386   9.685
-0.167   0.748   -0.544   9.601   9.586
-0.133   0.809   -0.101   10.114   9.546
-0.100   0.784   0.301   9.504   8.218
-0.067   0.758   0.434   9.352   7.447
-0.033   0.753   0.416   10.107   7.074
0.000   0.732   0.442   10.878   6.877
0.033   0.720   0.524   11.346   7.357
0.067   0.746   0.602   11.652   7.973
0.100   0.801   0.539   11.591   9.114
0.133   0.855   0.566   11.339   10.212
0.167   0.941   0.493   11.035   10.761
0.200   1.017   0.201   10.613   11.286
0.233   1.051   -0.134   10.458   11.211
0.267   1.091   -0.436   10.401   11.425
0.300   1.143   -0.589   10.383   11.663
0.333   1.170   -0.679   9.709   11.707
0.367   1.188   -0.743   9.981   11.697
0.400   1.201   -0.724   9.684   11.726
0.433   1.240   -0.629   9.730   11.686
0.467   1.247   -0.550   9.907   11.654
0.500   1.272   -0.514   10.534   11.521
0.533   1.363   -0.511   10.687   11.467
0.567   1.414   -0.507   10.701   11.405
0.600   1.458   -0.485   10.806   11.376
0.633   1.524   -0.485   10.884   11.366
0.667   1.594   -0.552   10.932   11.356
0.700   1.653   -0.623   11.041   11.341
0.733   1.680   -0.622   11.123   11.296
0.767   1.706   -0.597   11.145   11.233
0.800   1.713   -0.560   11.145   11.128
0.833   1.721   -0.463   11.145   11.089
