-1.967   0.000   -0.000   9.367   11.842
-1.933   -0.582   -0.427   9.258   11.893
-1.900   -0.838   -0.627   9.200   11.926
-1.867   -1.044   -0.591   9.125   11.889
-1.833   -1.227   -0.501   9.035   11.829
-1.800   -1.284   -0.439   8.985   11.803
-1.767   -1.301   -0.411   8.916   11.742
-1.733   -1.339   -0.380   8.845   11.693
-1.700   -1.343   -0.365   8.790   11.639
-1.667   -1.372   -0.335   8.733   11.619
-1.633   -1.390   -0.308   8.680   11.602
-1.600   -1.403   -0.300   8.638   11.592
-1.567   -1.418   -0.286   8.604   11.576
-1.533   -1.444   -0.282   8.581   11.567
-1.500   -1.477   -0.281   8.571   11.557
-1.467   -1.511   -0.282   8.523   11.554
-1.433   -1.532   -0.281   8.504   11.552
-1.400   -1.560   -0.286   8.445   11.549
-1.367   -1.581   -0.304   8.385   11.548
-1.333   -1.633   -0.323   8.318   11.548
-1.300   -1.687   -0.338   8.244   11.514
-1.267   -1.738   -0.367   8.151   11.477
-1.233   -1.759   -0.409   8.050   11.479
-1.200   -1.837   -0.432   7.951   11.486
-1.167   -1.923   -0.422   7.888   11.549
-1.133   -1.989   -0.415   7.726   11.486
-1.100   -2.044   -0.418   7.535   11.195
-1.067   -2.049   -0.424   7.353   11.009
-1.033   -2.040   -0.482   7.115   10.992
-1.000   -2.067   -0.500   6.903   10.891
-0.967   -2.090   -0.494   6.677   10.655
-0.933   -2.109   -0.547   6.413   10.487
-0.900   -2.103   -0.617   6.070   10.389
-0.867   -2.077   -0.667   5.979   10.211
-0.833   -2.075   -0.725   5.674   10.154
-0.800   -2.029   -0.790   5.624   9.992
-0.767   -1.961   -0.846   5.583   9.915
-0.733   -1.859   -0.895   5.534   9.899
-0.700   -1.793   -0.949   5.530   9.948
-0.667   -1.755   -0.999   5.616   9.987
-0.633   -1.657   -1.045   5.740   10.051
-0.600   -1.611   -1.098   5.834   10.077
-0.567   -1.591   -1.151   5.955   10.107
-0.533   -1.556   -1.197   6.002   10.125
-0.500   -1.487   -1.224   6.054   10.106
-0.467   -1.420   -1.243   6.108   10.098
-0.433   -1.354   -1.269   6.206   10.076
-0.400   -1.328   -1.283   6.290   10.006
-0.367   -1.291   -1.287   6.410   9.930
-0.333   -1.288   -1.271   6.465   9.901
-0.300   -1.251   -1.230   6.495   9.879
-0.267   -1.229   -1.135   6.501   9.809
-0.233   -1.151   -0.942   6.561   9.641
-0.200   -1.037   -0.802   7.024   9.124
-0.167   -1.093   -0.360   7.404   9.366
-0.133   -1.075   0.074   7.653   9.102
-0.100   -1.150   0.289   7.679   7.483
-0.067   -1.219   0.527   7.378   6.772
-0.033   -1.309   0.689   7.757   5.994
0.000   -1.381   0.748   8.280   5.949
0.033   -1.424   0.815   8.756   6.357
0.067   -1.436   0.930   8.853   6.871
0.100   -1.422   1.046   8.416   8.075
0.133   -1.412   1.044   8.358   9.325
0.167   -1.394   0.990   8.259   9.447
0.200   -1.369   0.896   8.038   9.772
0.233   -1.364   0.724   7.854   9.992
0.267   -1.339   0.302   7.508   10.299
0.300   -1.329   0.011   6.876   10.406
0.333   -1.334   -0.147   6.806   10.469
0.367   -1.360   -0.137   6.856   10.536
0.400   -1.391   -0.129   6.824   10.596
0.433   -1.424   -0.104   7.563   10.796
0.467   -1.439   -0.077   7.696   10.721
0.500   -1.463   -0.072   7.661   10.555
0.533   -1.478   -0.121   7.715   10.454
0.567   -1.494   -0.126   7.746   10.400
0.600   -1.506   -0.181   7.790   10.372
0.633   -1.498   -0.202   7.829   10.367
0.667   -1.497   -0.184   7.865   10.279
0.700   -1.495   -0.165   7.893   10.251
0.733   -1.492   -0.108   7.908   10.231
0.767   -1.503   0.004   7.973   10.211
0.800   -1.525   0.116   7.983   10.196
0.833   -1.564   0.199   8.005   10.189
0.867   -1.583   0.229   8.003   10.187
0.900   -1.594   0.232   8.005   10.188
0.933   -1.601   0.245   8.007   10.190
0.967   -1.605   0.247   8.017   10.191
1.000   -1.600   0.243   8.014   10.190
1.033   -1.596   0.243   8.011   10.189
