-3.533   0.000   -0.000   9.715   6.617
-3.500   0.006   -0.017   9.690   6.645
-3.467   0.012   -0.030   9.678   6.654
-3.433   0.015   -0.040   9.672   6.660
-3.400   0.018   -0.046   9.667   6.665
-3.367   0.021   -0.049   9.665   6.668
-3.333   0.023   -0.051   9.664   6.669
-3.300   0.024   -0.053   9.662   6.671
-3.267   0.025   -0.053   9.661   6.672
-3.233   0.026   -0.054   9.658   6.674
-3.200   0.027   -0.054   9.657   6.675
-3.167   0.027   -0.055   9.656   6.675
-3.133   0.027   -0.055   9.656   6.676
-3.100   0.028   -0.055   9.655   6.676
-3.067   0.028   -0.055   9.655   6.676
-3.033   0.028   -0.055   9.655   6.676
-3.000   0.029   -0.055   9.655   6.676
-2.967   0.029   -0.055   9.655   6.676
-2.933   0.029   -0.055   9.655   6.676
-2.900   0.029   -0.055   9.656   6.676
-2.867   0.030   -0.055   9.656   6.676
-2.833   0.030   -0.055   9.656   6.676
-2.800   0.030   -0.055   9.656   6.676
-2.767   0.030   -0.055   9.656   6.676
-2.733   0.030   -0.055   9.656   6.676
-2.700   0.030   -0.055   9.656   6.676
-2.667   0.031   -0.055   9.657   6.676
-2.633   0.031   -0.055   9.657   6.676
-2.600   0.031   -0.055   9.657   6.676
-2.567   0.031   -0.055   9.657   6.676
-2.533   0.031   -0.054   9.658   6.676
-2.500   0.031   -0.054   9.658   6.676
-2.467   0.031   -0.054   9.659   6.676
-2.433   0.031   -0.054   9.659   6.676
-2.400   0.032   -0.054   9.659   6.676
-2.367   0.032   -0.054   9.660   6.676
-2.333   0.032   -0.054   9.660   6.676
-2.300   0.032   -0.054   9.660   6.675
-2.267   0.032   -0.054   9.661   6.675
-2.233   0.032   -0.054   9.661   6.675
-2.200   0.032   -0.054   9.661   6.675
-2.167   0.032   -0.054   9.661   6.675
-2.133   0.032   -0.054   9.661   6.675
-2.100   0.033   -0.054   9.662   6.675
-2.067   0.033   -0.054   9.662   6.675
-2.033   0.033   -0.054   9.662   6.675
-2.000   0.033   -0.054   9.662   6.675
-1.967   0.033   -0.054   9.662   6.675
-1.933   0.033   -0.054   9.662   6.675
-1.900   0.033   -0.054   9.662   6.675
-1.867   0.033   -0.054   9.662   6.675
-1.833   0.034   -0.054   9.662   6.674
-1.800   0.034   -0.054   9.662   6.674
-1.767   0.034   -0.054   9.662   6.674
-1.733   0.034   -0.054   9.663   6.674
-1.700   0.034   -0.054   9.663   6.673
-1.667   0.034   -0.054   9.663   6.673
-1.633   0.034   -0.054   9.663   6.673
-1.600   0.034   -0.054   9.663   6.673
-1.567   0.034   -0.054   9.663   6.672
-1.533   0.034   -0.055   9.664   6.672
-1.500   0.034   -0.055   9.665   6.672
-1.467   0.035   -0.055   9.665   6.672
-1.433   0.035   -0.055   9.665   6.672
-1.400   0.035   -0.055   9.665   6.672
-1.367   0.035   -0.056   9.665   6.672
-1.333   0.035   -0.056   9.665   6.672
-1.300   0.035   -0.056   9.665   6.672
-1.267   0.035   -0.056   9.666   6.672
-1.233   0.035   -0.056   9.666   6.672
-1.200   0.035   -0.056   9.666   6.672
-1.167   0.035   -0.056   9.666   6.672
-1.133   0.035   -0.056   9.666   6.672
-1.100   0.035   -0.056   9.666   6.672
-1.067   0.035   -0.056   9.666   6.672
-1.033   0.035   -0.056   9.666   6.672
-1.000   0.035   -0.056   9.666   6.672
-0.967   0.035   -0.056   9.666   6.672
-0.933   0.035   -0.057   9.666   6.672
-0.900   0.045   -0.071   9.718   6.701
-0.867   0.053   -0.082   9.738   6.724
-0.833   0.059   -0.090   9.748   6.734
-0.800   0.066   -0.095   9.750   6.743
-0.767   0.072   -0.098   9.751   6.746
-0.733   0.075   -0.100   9.752   6.746
-0.700   0.076   -0.102   9.754   6.747
-0.667   0.077   -0.102   9.754   6.749
-0.633   0.077   -0.103   9.754   6.750
-0.600   0.077   -0.103   9.754   6.750
-0.567   0.100   -0.121   9.815   6.752
-0.533   0.137   -0.130   10.083   6.755
-0.500   0.220   -0.162   10.357   6.751
-0.467   0.281   -0.214   10.367   6.761
-0.433   0.394   -0.260   10.362   6.739
-0.400   0.520   -0.295   10.468   6.653
-0.367   0.614   -0.339   10.533   6.566
-0.333   0.840   -0.344   11.288   5.611
-0.300   0.908   -0.329   11.012   5.934
-0.267   1.097   -0.321   11.976   3.860
-0.233   0.986   -0.236   11.480   5.692
-0.200   1.015   -0.113   11.172   5.872
-0.167   1.030   0.048   11.048   5.830
-0.133   1.042   0.274   11.054   5.577
-0.100   1.016   0.856   11.150   5.199
-0.067   0.996   1.628   11.661   3.994
-0.033   0.913   1.753   12.069   2.939
0.000   0.836   1.943   12.931   2.600
0.033   0.778   1.856   13.002   2.646
0.067   0.729   2.005   13.712   2.746
0.100   0.736   2.033   14.227   3.437
0.133   0.770   2.152   14.529   4.347
0.167   0.832   2.241   14.235   5.669
0.200   0.907   2.213   13.824   6.246
0.233   1.040   2.174   13.396   6.358
0.267   1.185   1.724   13.079   6.808
0.300   1.284   1.264   12.692   6.847
0.333   1.269   1.001   12.305   6.891
0.367   1.286   1.008   12.377   6.903
0.400   1.275   0.908   12.548   7.166
0.433   1.278   0.861   12.696   7.290
0.467   1.263   0.824   12.874   7.132
0.500   1.257   0.876   12.970   7.104
0.533   1.278   0.946   13.066   7.030
0.567   1.319   0.972   13.184   6.988
0.600   1.352   0.951   13.307   6.929
0.633   1.378   0.912   13.328   6.917
0.667   1.433   0.804   13.515   6.890
0.700   1.457   0.817   13.464   6.881
0.733   1.467   0.851   13.411   6.873
0.767   1.474   0.872   13.417   6.823
0.800   1.479   0.883   13.432   6.797
