-1.233   0.000   -0.000   7.295   9.697
-1.200   1.004   0.321   9.501   10.288
-1.167   1.778   0.321   9.588   10.158
-1.133   1.619   0.255   9.532   10.150
-1.100   1.512   0.300   9.411   9.868
-1.067   1.394   0.419   9.166   9.632
-1.033   1.394   0.425   9.025   9.203
-1.000   1.331   0.452   8.723   9.253
-0.967   1.334   0.455   8.607   8.943
-0.933   1.336   0.457   8.389   8.767
-0.900   1.336   0.401   8.083   8.638
-0.867   1.366   0.370   7.972   8.424
-0.833   1.373   0.361   7.761   8.317
-0.800   1.378   0.347   7.606   8.207
-0.767   1.407   0.343   7.495   8.150
-0.733   1.472   0.327   7.517   8.071
-0.700   1.534   0.243   7.462   8.116
-0.667   1.574   0.167   7.559   8.112
-0.633   1.646   0.104   7.601   8.161
-0.600   1.731   0.074   7.677   8.181
-0.567   1.813   0.014   7.911   8.141
-0.533   1.821   -0.014   7.976   8.198
-0.500   1.847   -0.020   8.014   8.230
-0.467   1.891   -0.043   8.027   8.179
-0.433   1.946   -0.059   8.056   8.191
-0.400   1.969   -0.054   8.117   8.049
-0.367   2.015   -0.058   8.200   8.013
-0.333   2.053   -0.050   8.299   7.933
-0.300   2.075   -0.039   8.323   7.923
-0.267   2.102   0.043   8.380   7.852
-0.233   2.139   0.211   8.447   7.669
-0.200   2.192   0.400   8.420   7.167
-0.167   2.209   0.635   9.152   7.261
-0.133   2.180   1.004   8.841   6.425
-0.100   2.166   1.452   9.206   5.970
-0.067   2.154   1.587   8.994   5.232
-0.033   2.151   1.734   9.281   4.446
0.000   2.066   1.810   9.838   4.121
0.033   2.043   1.898   10.304   4.393
0.067   2.027   2.015   10.548   5.089
0.100   2.016   2.108   10.127   6.179
0.133   2.022   2.091   10.096   7.490
0.167   2.022   2.058   10.000   7.659
0.200   2.026   2.000   9.975   7.804
0.233   2.049   1.861   9.602   8.216
0.267   2.097   1.512   8.652   8.472
0.300   2.122   1.199   8.488   8.507
0.333   2.090   1.043   8.300   8.534
0.367   2.035   1.023   8.292   8.582
0.400   2.024   1.010   8.327   8.621
0.433   2.015   1.067   8.536   8.689
0.467   2.006   1.074   8.629   8.775
0.500   1.983   1.057   9.366   8.892
0.533   1.971   0.992   9.468   8.807
0.567   1.956   0.898   9.530   8.754
0.600   1.929   0.793   9.629   8.784
0.633   1.905   0.674   9.681   8.842
0.667   1.891   0.625   9.745   8.824
0.700   1.876   0.647   9.757   8.827
0.733   1.852   0.708   9.728   8.810
