-0.800   0.000   -0.000   16.080   8.779
-0.767   0.003   -0.000   16.069   8.775
-0.733   0.047   -0.040   16.064   8.778
-0.700   0.099   -0.069   16.059   8.791
-0.667   0.142   -0.108   16.052   8.808
-0.633   0.214   -0.164   16.052   8.832
-0.600   0.339   -0.205   16.050   8.859
-0.567   0.368   -0.256   16.037   8.890
-0.533   0.435   -0.290   15.970   8.921
-0.500   0.508   -0.310   15.837   8.959
-0.467   0.557   -0.333   15.732   8.997
-0.433   0.619   -0.340   15.541   9.014
-0.400   0.639   -0.343   15.503   8.810
-0.367   0.653   -0.356   15.501   8.693
-0.333   0.691   -0.352   15.514   8.533
-0.300   0.712   -0.350   15.559   8.285
-0.267   0.724   -0.267   15.582   8.181
-0.233   0.802   -0.032   15.556   7.865
-0.200   0.962   0.178   15.556   7.414
-0.167   0.999   0.438   15.502   7.458
-0.133   0.975   0.910   15.108   6.978
-0.100   0.945   1.054   16.032   8.504
-0.067   1.144   1.194   15.711   6.355
-0.033   1.130   1.414   16.092   5.121
0.000   1.093   1.543   16.690   5.043
0.033   1.069   1.519   16.714   5.086
0.067   1.125   1.547   16.721   5.793
0.100   1.124   1.579   16.480   6.927
0.133   1.125   1.560   16.391   7.214
0.167   1.218   1.446   16.446   8.915
0.200   1.255   1.048   16.510   9.064
0.233   1.265   0.877   16.500   9.292
0.267   1.241   0.723   16.454   9.587
0.300   1.209   0.613   16.325   9.784
0.333   1.176   0.553   15.944   9.731
0.367   1.164   0.484   15.954   9.789
0.400   1.160   0.498   15.970   9.927
0.433   1.160   0.486   16.056   9.982
0.467   1.177   0.510   16.269   10.140
0.500   1.227   0.510   16.252   9.865
0.533   1.265   0.506   16.233   9.998
0.567   1.283   0.496   16.328   9.933
0.600   1.283   0.458   16.684   9.873
0.633   1.286   0.428   16.724   9.843
0.667   1.303   0.307   16.674   9.830
0.700   1.299   0.262   16.655   9.796
0.733   1.297   0.247   16.635   9.744
